                  1         2         3         4         5         6         7         8         9
  7.00E-06  2.97E-02  7.28E-03  7.58E-03  5.56E-04  2.32E-05  6.35E-06  3.54E-06  1.34E-04  3.57E-05
  8.47E-06  3.73E-02  9.15E-03  9.52E-03  7.00E-04  2.91E-05  7.99E-06  4.20E-06  1.69E-04  4.49E-05
  1.02E-05  4.69E-02  1.15E-02  1.20E-02  8.79E-04  3.66E-05  1.00E-05  5.27E-06  2.12E-04  5.64E-05
  1.23E-05  5.79E-02  1.42E-02  1.48E-02  1.09E-03  4.52E-05  1.24E-05  6.51E-06  2.62E-04  6.96E-05
  1.48E-05  7.02E-02  1.72E-02  1.79E-02  1.32E-03  5.48E-05  1.50E-05  7.89E-06  3.18E-04  8.44E-05
  1.79E-05  8.44E-02  2.07E-02  2.15E-02  1.58E-03  6.59E-05  1.81E-05  9.49E-06  3.83E-04  1.02E-04
  2.14E-05  9.88E-02  2.42E-02  2.52E-02  1.85E-03  7.72E-05  2.12E-05  1.11E-05  4.48E-04  1.19E-04
  2.57E-05  1.12E-01  2.75E-02  2.86E-02  2.10E-03  8.76E-05  2.40E-05  1.26E-05  5.08E-04  1.35E-04
  3.08E-05  1.23E-01  3.02E-02  3.14E-02  2.31E-03  9.61E-05  2.64E-05  1.38E-05  5.58E-04  1.48E-04
  3.68E-05  1.30E-01  3.19E-02  3.32E-02  2.44E-03  1.02E-04  2.79E-05  1.46E-05  5.90E-04  1.57E-04
  4.39E-05  1.31E-01  3.21E-02  3.35E-02  2.46E-03  1.02E-04  2.81E-05  1.47E-05  5.94E-04  1.58E-04
  5.24E-05  1.26E-01  3.09E-02  3.21E-02  2.36E-03  9.83E-05  2.69E-05  1.42E-05  5.70E-04  1.51E-04
  6.23E-05  1.14E-01  2.80E-02  2.91E-02  2.14E-03  8.91E-05  2.44E-05  1.28E-05  5.17E-04  1.37E-04
  7.41E-05  9.58E-02  2.35E-02  2.45E-02  1.80E-03  7.50E-05  2.06E-05  1.08E-05  4.35E-04  1.16E-04
  8.79E-05  7.19E-02  1.77E-02  1.84E-02  1.35E-03  5.63E-05  1.54E-05  8.11E-06  3.27E-04  8.68E-05
  1.04E-04  4.68E-02  1.15E-02  1.20E-02  8.80E-04  3.67E-05  1.01E-05  5.29E-06  2.13E-04  5.65E-05
  1.23E-04  2.66E-02  6.53E-03  6.80E-03  5.00E-04  2.08E-05  5.71E-06  3.55E-06  1.21E-04  3.22E-05
  1.46E-04  1.58E-02  3.87E-03  4.03E-03  2.96E-04  1.24E-05  3.63E-06  3.54E-06  7.18E-05  1.91E-05
  1.72E-04  1.51E-02  3.72E-03  3.87E-03  2.85E-04  1.19E-05  3.63E-06  3.54E-06  6.89E-05  1.83E-05
  2.03E-04  2.32E-02  5.71E-03  5.95E-03  4.37E-04  1.82E-05  5.00E-06  3.54E-06  1.06E-04  2.81E-05
