C     FH2     FCO     FSO2     FH2S
1 3.934E+10 7.690E+09 3.442E+08 6.505E+09 
2 7.867E+10 1.538E+10 6.884E+08 1.301E+10 
3 1.180E+11 2.307E+10 1.033E+09 1.952E+10 
4 1.573E+11 3.076E+10 1.377E+09 2.602E+10 
5 1.967E+11 3.845E+10 1.721E+09 3.253E+10 
6 2.360E+11 4.614E+10 2.065E+09 3.903E+10 
7 2.754E+11 5.383E+10 2.409E+09 4.554E+10 
8 3.147E+11 6.152E+10 2.754E+09 5.204E+10 
9 3.540E+11 6.921E+10 3.098E+09 5.855E+10 
10 3.934E+11 7.690E+10 3.442E+09 6.505E+10 
11 4.327E+11 8.459E+10 3.786E+09 7.156E+10 
12 4.720E+11 9.228E+10 4.130E+09 7.807E+10 
13 5.114E+11 9.997E+10 4.475E+09 8.457E+10 
14 5.507E+11 1.077E+11 4.819E+09 9.108E+10 
15 5.900E+11 1.153E+11 5.163E+09 9.758E+10 
16 6.294E+11 1.230E+11 5.507E+09 1.041E+11 
17 6.687E+11 1.307E+11 5.851E+09 1.106E+11 
18 7.081E+11 1.384E+11 6.196E+09 1.171E+11 
19 7.474E+11 1.461E+11 6.540E+09 1.236E+11 
20 7.867E+11 1.538E+11 6.884E+09 1.301E+11 
21 8.261E+11 1.615E+11 7.228E+09 1.366E+11 
22 8.654E+11 1.692E+11 7.573E+09 1.431E+11 
23 9.047E+11 1.769E+11 7.917E+09 1.496E+11 
24 9.441E+11 1.846E+11 8.261E+09 1.561E+11 
25 9.834E+11 1.922E+11 8.605E+09 1.626E+11 
