
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 4.563E-21 1.300E-07 1.300E-07 1.097E-06 6.996E+11 5.891E+06 5.572E+29 5.457E+01
  1.250E+05 4.084E-21 1.300E-07 1.300E-07 1.243E-06 6.052E+11 5.662E+06 6.287E+29 5.457E+01
  2.250E+05 3.653E-21 1.300E-07 1.300E-07 1.413E-06 5.212E+11 5.421E+06 7.107E+29 5.457E+01
  3.250E+05 3.259E-21 1.300E-07 1.300E-07 1.610E-06 4.471E+11 5.184E+06 8.054E+29 5.457E+01
  4.250E+05 2.908E-21 1.300E-07 1.300E-07 1.842E-06 3.811E+11 4.926E+06 9.143E+29 5.457E+01
  5.250E+05 2.595E-21 1.300E-07 1.300E-07 2.114E-06 3.223E+11 4.643E+06 1.040E+30 5.457E+01
  6.250E+05 2.315E-21 1.300E-07 1.300E-07 2.438E-06 2.701E+11 4.337E+06 1.185E+30 5.457E+01
  7.250E+05 2.064E-21 1.300E-07 1.300E-07 2.829E-06 2.240E+11 4.014E+06 1.355E+30 5.457E+01
  8.250E+05 1.836E-21 1.300E-07 1.300E-07 3.306E-06 1.836E+11 3.686E+06 1.557E+30 5.457E+01
  9.250E+05 1.627E-21 1.300E-07 1.300E-07 3.897E-06 1.488E+11 3.361E+06 1.798E+30 5.457E+01
  1.025E+06 1.434E-21 1.300E-07 1.300E-07 4.639E-06 1.190E+11 3.809E+06 2.090E+30 5.457E+01
  1.125E+06 1.230E-21 1.300E-07 1.300E-07 5.572E-06 9.623E+10 9.583E+06 2.473E+30 5.457E+01
  1.225E+06 1.028E-21 1.300E-07 1.300E-07 6.705E-06 7.948E+10 1.670E+07 2.967E+30 5.457E+01
  1.325E+06 8.591E-22 1.300E-07 1.300E-07 8.079E-06 6.552E+10 3.502E+07 3.563E+30 5.457E+01
  1.425E+06 7.177E-22 1.300E-07 1.300E-07 9.748E-06 5.387E+10 4.754E+07 4.282E+30 5.457E+01
  1.525E+06 5.993E-22 1.300E-07 1.300E-07 1.178E-05 4.417E+10 5.888E+07 5.151E+30 5.457E+01
  1.625E+06 4.999E-22 1.300E-07 1.300E-07 1.427E-05 3.614E+10 6.644E+07 6.205E+30 5.457E+01
  1.725E+06 4.163E-22 1.300E-07 1.300E-07 1.731E-05 2.950E+10 6.681E+07 7.486E+30 5.457E+01
  1.825E+06 3.462E-22 1.300E-07 1.300E-07 2.104E-05 2.402E+10 6.547E+07 9.049E+30 5.457E+01
  1.925E+06 2.875E-22 1.300E-07 1.300E-07 2.562E-05 1.951E+10 6.097E+07 1.096E+31 5.457E+01
  2.025E+06 2.383E-22 1.300E-07 1.300E-07 3.128E-05 1.581E+10 5.317E+07 1.329E+31 5.457E+01
  2.125E+06 1.971E-22 1.300E-07 1.300E-07 3.827E-05 1.278E+10 4.691E+07 1.616E+31 5.457E+01
  2.225E+06 1.626E-22 1.300E-07 1.300E-07 4.693E-05 1.031E+10 4.037E+07 1.968E+31 5.457E+01
  2.325E+06 1.339E-22 1.300E-07 1.300E-07 5.768E-05 8.301E+09 3.473E+07 2.403E+31 5.457E+01
  2.425E+06 1.100E-22 1.300E-07 1.300E-07 7.104E-05 6.668E+09 2.992E+07 2.941E+31 5.457E+01
  2.525E+06 9.017E-23 1.300E-07 1.300E-07 8.769E-05 5.346E+09 2.586E+07 3.607E+31 5.457E+01
  2.625E+06 7.368E-23 1.300E-07 1.300E-07 1.085E-04 4.283E+09 2.271E+07 4.434E+31 5.457E+01
  2.725E+06 6.000E-23 1.300E-07 1.300E-07 1.343E-04 3.431E+09 2.005E+07 5.466E+31 5.457E+01
  2.825E+06 4.871E-23 1.300E-07 1.300E-07 1.666E-04 2.750E+09 1.750E+07 6.753E+31 5.457E+01
  2.925E+06 3.949E-23 1.300E-07 1.300E-07 2.069E-04 2.203E+09 1.597E+07 8.353E+31 5.457E+01
  3.025E+06 3.202E-23 1.300E-07 1.300E-07 2.573E-04 1.759E+09 1.431E+07 1.034E+32 5.457E+01
  3.125E+06 2.598E-23 1.300E-07 1.300E-07 3.206E-04 1.398E+09 1.255E+07 1.280E+32 5.457E+01
  3.225E+06 2.107E-23 1.300E-07 1.300E-07 4.006E-04 1.106E+09 1.128E+07 1.588E+32 5.457E+01
  3.325E+06 1.705E-23 1.300E-07 1.300E-07 5.019E-04 8.727E+08 1.010E+07 1.974E+32 5.457E+01
  3.425E+06 1.375E-23 1.300E-07 1.300E-07 6.303E-04 6.874E+08 8.939E+06 2.460E+32 5.457E+01
  3.525E+06 1.105E-23 1.300E-07 1.300E-07 7.933E-04 5.411E+08 8.010E+06 3.075E+32 5.457E+01
  3.625E+06 8.843E-24 1.300E-07 1.300E-07 9.996E-04 4.265E+08 6.990E+06 3.857E+32 5.457E+01
  3.725E+06 7.039E-24 1.300E-07 1.300E-07 1.260E-03 3.375E+08 6.234E+06 4.852E+32 5.457E+01
