Gibbs Energy (J/mol):
-2.9760e+01
initial_n final_n
4.3678e+02 4.3677e+02
4.6240e-13 3.0294e-12
7.5000e-01 7.4866e-01
2.5000e-02 3.0275e-02
2.0000e-01 1.9769e-01
1.0000e-10 4.2609e-08
9.1290e-04 1.1177e-07
6.9250e-05 1.1357e-10
5.7190e-05 4.3618e-08
1.1020e-09 8.4972e-11
1.9676e-06 1.5614e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.1025e-01
5.2395e-02 5.2699e-02
6.2092e-04 1.6462e-04
3.1183e-07 6.1138e-07
4.9434e-08 4.3335e-06
2.2144e-05 2.5654e-03
3.7888e-03 3.8599e-03
4.5329e-15 2.9368e-12
1.0747e-05 3.0471e-11
5.3037e-07 4.0493e-11
7.8330e-15 2.1750e-11
7.8330e-15 9.9529e-10
3.4927e-07 5.1317e-10
