Gibbs Energy (J/mol):
-1.0426e+03
initial_n final_n
4.3678e+02 4.3674e+02
3.6680e-13 5.8381e-13
7.5000e-01 7.4115e-01
2.5000e-02 2.9981e-02
2.0000e-01 1.9570e-01
1.0000e-10 5.8802e-08
8.8840e-08 2.5655e-05
1.3850e-02 5.2714e-11
1.2390e-02 1.9610e-07
2.5750e-09 7.7130e-10
1.9676e-06 1.8668e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.2517e-01
5.2395e-02 5.2678e-02
6.2092e-04 1.8933e-04
3.1183e-07 6.2014e-07
4.9434e-08 2.9906e-05
2.2144e-05 1.7538e-02
3.7888e-03 3.8615e-03
3.5961e-15 5.6513e-13
1.0457e-09 3.1378e-07
1.0606e-04 1.5475e-11
7.8330e-15 6.3736e-10
7.8330e-15 1.1664e-09
7.5659e-05 1.2669e-09
