Gibbs Energy (J/mol):
-2.8913e+02
initial_n final_n
4.3678e+02 4.3668e+02
2.3230e-13 1.2046e-13
7.5000e-01 7.2247e-01
2.5000e-02 2.8584e-02
2.0000e-01 1.7021e-01
1.0000e-10 2.2238e-07
2.1010e-02 8.5490e-04
4.0860e-04 9.0901e-11
1.3840e-04 4.6550e-07
4.4440e-09 1.7835e-09
1.9676e-06 1.4701e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.6209e-01
5.2395e-02 4.8030e-02
6.2092e-04 2.8235e-04
3.1183e-07 7.9374e-07
4.9434e-08 1.1855e-04
2.2144e-05 5.4648e-02
3.7888e-03 3.9425e-03
2.2770e-15 1.1651e-13
2.4737e-04 1.0955e-05
3.1293e-06 5.3508e-12
7.8330e-15 2.6590e-09
7.8330e-15 1.4659e-12
8.4518e-07 2.9697e-09
