Gibbs Energy (J/mol):
-8.2545e+02
initial_n final_n
4.3678e+02 4.3675e+02
3.1330e-13 5.7957e-13
7.5000e-01 7.4250e-01
2.5000e-02 2.9678e-02
2.0000e-01 1.9431e-01
1.0000e-10 5.0157e-08
6.5510e-08 1.6515e-05
9.4960e-03 1.9648e-11
1.2670e-02 1.7615e-07
9.2070e-10 2.3810e-12
1.9676e-06 1.8690e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.2246e-01
5.2395e-02 5.2401e-02
6.2092e-04 1.8769e-04
3.1183e-07 6.1792e-07
4.9434e-08 2.5328e-05
2.2144e-05 1.4830e-02
3.7888e-03 3.8716e-03
3.0713e-15 5.6099e-13
7.7131e-10 2.0275e-07
7.2729e-05 3.7262e-12
7.8330e-15 9.1828e-10
7.8330e-15 5.3345e-14
7.7374e-05 3.6589e-12
